"scenario","N","T","r","K","x_val","SNR_target","method","MSE","SD","SE","n"
"fixed_x_window",200,200,6,100,99,1000,"oracle_local",0.00305972308022153,0.00650235894081414,0.0014539716605764,20
"fixed_x_window",200,200,6,100,109,1000,"oracle_local",0.00295670338410324,0.00276272466393452,0.000617764015167285,20
"fixed_x_window",200,200,6,100,119,1000,"oracle_local",0.0019781654371038,0.00352093972450406,0.000787306056867047,20
"fixed_x_window",200,200,6,100,129,1000,"oracle_local",0.00157195441034057,0.00201377648746927,0.000450294111747205,20
"fixed_x_window",200,200,6,100,139,1000,"oracle_local",0.00157147067915556,0.0025672837424741,0.000574062096570214,20
"fixed_x_window",200,200,6,100,149,1000,"oracle_local",0.0021256601928938,0.00285118963056966,0.000637545383069628,20
"fixed_x_window",200,200,6,100,159,1000,"oracle_local",0.00154407054553347,0.00237181765783209,0.000530354551314689,20
"fixed_x_window",200,200,6,100,169,1000,"oracle_local",0.00189182483917908,0.00221771667281985,0.000495896523525985,20
"fixed_x_window",200,200,6,100,179,1000,"oracle_local",0.00203612762274547,0.0032788292931481,0.000733168518609674,20
"fixed_x_window",200,200,6,100,189,1000,"oracle_local",0.000985815455732356,0.00121297517228132,0.000271229494024056,20
"fixed_x_window",200,200,6,100,199,1000,"oracle_local",0.00182431679060126,0.00215230531582716,0.000481270099452369,20
"fixed_x_window",200,200,6,100,79,1,"real_pool",7.00417536528711e-06,1.1828835162578e-05,2.64500795181643e-06,20
"fixed_x_window",200,200,6,100,89,1,"real_pool",3.57388106925841e-06,4.43105734885068e-06,9.90814544423012e-07,20
"fixed_x_window",200,200,6,100,99,1,"real_pool",4.8041287547079e-06,7.28775424952162e-06,1.62959139052433e-06,20
"fixed_x_window",200,200,6,100,109,1,"real_pool",3.04054409265875e-06,5.34757815826825e-06,1.19575482768809e-06,20
"fixed_x_window",200,200,6,100,119,1,"real_pool",3.71427433869389e-06,5.90701094112905e-06,1.32084780081996e-06,20
"fixed_x_window",200,200,6,100,129,1,"real_pool",1.20397294669953e-05,2.2420238593669e-05,5.01331775672082e-06,20
"fixed_x_window",200,200,6,100,139,1,"real_pool",3.92511146530689e-06,6.29195238868429e-06,1.40692332522903e-06,20
"fixed_x_window",200,200,6,100,149,1,"real_pool",4.14973468081388e-06,5.55618979609544e-06,1.24240180799601e-06,20
"fixed_x_window",200,200,6,100,159,1,"real_pool",4.11082494683263e-06,6.57906363930976e-06,1.47112335257938e-06,20
"fixed_x_window",200,200,6,100,169,1,"real_pool",6.95591936857843e-06,1.13727642695156e-05,2.54302739987176e-06,20
"fixed_x_window",200,200,6,100,179,1,"real_pool",1.10295763103847e-06,1.81552266933192e-06,4.05963210331804e-07,20
"fixed_x_window",200,200,6,100,189,1,"real_pool",3.75748874904638e-06,4.50509352492098e-06,1.00736953667175e-06,20
"fixed_x_window",200,200,6,100,199,1,"real_pool",3.35798830680474e-06,4.08837269176629e-06,9.14187925614321e-07,20
"fixed_x_window",200,200,6,100,79,1000,"real_pool",0.0090059613255456,0.0268350689881658,0.00600050384384351,20
"fixed_x_window",200,200,6,100,89,1000,"real_pool",0.00562046256052113,0.00791579422837841,0.00177002539905546,20
"fixed_x_window",200,200,6,100,99,1000,"real_pool",0.00451146675507762,0.00780674030798134,0.00174564020113339,20
"fixed_x_window",200,200,6,100,109,1000,"real_pool",0.00625613917706137,0.0104825241244573,0.0023439636518068,20
"fixed_x_window",200,200,6,100,119,1000,"real_pool",0.00298632489561137,0.00432722145454327,0.000967596132605426,20
"fixed_x_window",200,200,6,100,129,1000,"real_pool",0.00423535024964511,0.00573147277167668,0.00128159627286582,20
"fixed_x_window",200,200,6,100,139,1000,"real_pool",0.00250789746048752,0.00463867158791201,0.00103723849958681,20
"fixed_x_window",200,200,6,100,149,1000,"real_pool",0.0021745419332099,0.00253174212483446,0.00056611474926296,20
"fixed_x_window",200,200,6,100,159,1000,"real_pool",0.00376780484922316,0.00795618286890962,0.00177905657363012,20
"fixed_x_window",200,200,6,100,169,1000,"real_pool",0.00252836736738974,0.00493600269235221,0.00110372375572215,20
"fixed_x_window",200,200,6,100,179,1000,"real_pool",0.00318065965362173,0.0055408018487187,0.00123896095835915,20
"fixed_x_window",200,200,6,100,189,1000,"real_pool",0.00299547375849778,0.00593303223573203,0.00132666633917944,20
"fixed_x_window",200,200,6,100,199,1000,"real_pool",0.00328320789871352,0.00380893958739069,0.000851704783959559,20
