"scenario","N","T","r","K","x_val","SNR_target","method","MSE","SD","SE","n"
"fixed_x_window",200,200,6,100,99,1,"real_pool",0.00178691373676675,0.0021075031838273,0.000471252038183508,20
"fixed_x_window",200,200,6,100,109,1,"real_pool",0.000989341947017955,0.00167137091612103,0.000373729898406273,20
"fixed_x_window",200,200,6,100,119,1,"real_pool",0.00158470546721699,0.00289900660807433,0.000648237584287528,20
"fixed_x_window",200,200,6,100,129,1,"real_pool",0.000759003476534199,0.00163306941173839,0.000365165421662264,20
"fixed_x_window",200,200,6,100,139,1,"real_pool",0.000635477224458624,0.00112814625716196,0.00025226117195761,20
"fixed_x_window",200,200,6,100,149,1,"real_pool",0.000472085260117135,0.000566873634848455,0.000126756798217354,20
"fixed_x_window",200,200,6,100,159,1,"real_pool",0.000272081514205971,0.000282674562437221,6.32079537119636e-05,20
"fixed_x_window",200,200,6,100,169,1,"real_pool",0.000192584199309591,0.000242645039856875,5.42570803523119e-05,20
"fixed_x_window",200,200,6,100,179,1,"real_pool",8.98026633624769e-05,0.00012555518556059,2.80749929841079e-05,20
"fixed_x_window",200,200,6,100,189,1,"real_pool",3.31044169461868e-05,3.69636306484303e-05,8.26531908250848e-06,20
"fixed_x_window",200,200,6,100,199,1,"real_pool",3.35798830680474e-06,4.08837269176629e-06,9.14187925614321e-07,20
"fixed_x_window",200,200,6,100,79,100,"real_pool",0.2142665207759,0.227523581952355,0.050875819572971,20
"fixed_x_window",200,200,6,100,89,100,"real_pool",0.126213232560138,0.146336298705482,0.0327217911481172,20
"fixed_x_window",200,200,6,100,99,100,"real_pool",0.107480784625827,0.0877951915045697,0.019631601630183,20
"fixed_x_window",200,200,6,100,109,100,"real_pool",0.0984138714709011,0.119193228813567,0.0266524162084823,20
"fixed_x_window",200,200,6,100,119,100,"real_pool",0.137234463911752,0.12513351119414,0.0279807037293327,20
"fixed_x_window",200,200,6,100,129,100,"real_pool",0.0874635106130004,0.125938471081848,0.0281606982321403,20
"fixed_x_window",200,200,6,100,139,100,"real_pool",0.0432993831434744,0.046222410625102,0.0103356452241637,20
"fixed_x_window",200,200,6,100,149,100,"real_pool",0.0462615905329325,0.0477950667475067,0.0106873018236565,20
"fixed_x_window",200,200,6,100,159,100,"real_pool",0.0469083914759105,0.0406039092391736,0.00907931012110239,20
"fixed_x_window",200,200,6,100,169,100,"real_pool",0.0226605014532072,0.0201132718676041,0.00449746431458969,20
"fixed_x_window",200,200,6,100,179,100,"real_pool",0.0191153628574317,0.0233908576907452,0.005230354784853,20
"fixed_x_window",200,200,6,100,189,100,"real_pool",0.00323591967527563,0.00501878860154271,0.00112223524777506,20
"fixed_x_window",200,200,6,100,199,100,"real_pool",0.000854102245596402,0.00114363550002651,0.000255724671954124,20
